               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.042327,             0.01818,           0.0091335,              0.9126,               0.886,             0.94787,              0.6344,           0.0088575,           0.0044671,           0.0031484,           0.0013792,           0.0013792,            0.051079
                  72,            0.042777,            0.019016,           0.0061327,              0.9249,             0.88579,             0.91718,             0.62283,           0.0083872,           0.0044482,           0.0034041,           0.0013421,           0.0013421,            0.050342
                  73,            0.035059,            0.018172,           0.0062348,              0.9126,             0.88613,             0.92021,             0.64548,           0.0081808,           0.0043598,           0.0034616,            0.001305,            0.001305,            0.049605
                  74,            0.039154,            0.019218,           0.0055291,             0.92366,             0.88574,             0.92391,              0.6245,           0.0087791,           0.0042602,            0.003562,           0.0012678,           0.0012678,            0.048868
                  75,            0.043102,            0.020756,            0.007317,             0.92013,             0.88601,             0.92391,             0.62763,           0.0086769,           0.0042647,           0.0034117,           0.0012309,           0.0012309,            0.048131
                  76,            0.034509,            0.017651,           0.0065024,             0.91455,             0.88604,             0.92391,             0.64182,           0.0075722,           0.0043715,            0.003293,           0.0011942,           0.0011942,            0.047394
                  77,            0.035104,            0.019424,           0.0051912,             0.91659,             0.88531,             0.92271,             0.61454,            0.007791,           0.0043974,           0.0032544,           0.0011579,           0.0011579,            0.046658
                  78,            0.028904,            0.017891,           0.0062043,              0.9322,             0.88545,             0.94183,             0.61582,           0.0080849,           0.0043881,           0.0030616,            0.001122,            0.001122,            0.045922
                  79,            0.042349,            0.020081,           0.0058672,             0.93836,             0.88386,             0.94637,             0.58883,            0.008519,            0.004398,           0.0030461,           0.0010869,           0.0010869,            0.045187
                  80,            0.041467,            0.017992,           0.0057159,             0.91609,             0.88554,             0.91817,             0.53252,           0.0095297,           0.0043327,           0.0029867,           0.0010524,           0.0010524,            0.044452
                  81,            0.035204,            0.018238,            0.004899,             0.92533,             0.88527,             0.91808,             0.54615,           0.0089741,            0.004345,           0.0030092,           0.0010189,           0.0010189,            0.043719
                  82,            0.032701,             0.01839,           0.0040723,             0.90933,             0.88563,             0.92271,             0.59103,           0.0083829,           0.0043648,           0.0030614,           0.0009863,           0.0009863,            0.042986
                  83,            0.029373,            0.017666,           0.0058709,             0.90656,             0.88544,             0.92412,             0.50253,            0.007882,            0.004412,           0.0031785,          0.00095485,          0.00095485,            0.042255
                  84,            0.041393,            0.018855,           0.0050056,             0.93462,             0.88488,             0.92866,             0.55193,           0.0073768,           0.0044176,           0.0031406,          0.00092463,          0.00092463,            0.041525
                  85,            0.035906,            0.018005,           0.0048971,             0.92223,             0.88595,             0.93449,             0.60456,           0.0075659,            0.004364,            0.003024,          0.00089577,          0.00089577,            0.040796
                  86,            0.031741,             0.01688,           0.0044412,              0.8845,             0.93284,             0.92854,             0.65358,            0.008582,           0.0042855,           0.0028613,          0.00086839,          0.00086839,            0.040068
                  87,            0.034249,            0.018919,           0.0055149,             0.90844,             0.93333,             0.92854,             0.63155,           0.0094818,           0.0042637,           0.0027946,          0.00084261,          0.00084261,            0.039343
                  88,            0.041225,            0.017929,           0.0047956,               0.919,             0.93333,             0.91252,             0.60403,           0.0079241,           0.0042975,           0.0026975,          0.00081856,          0.00081856,            0.038619
                  89,            0.033982,            0.016687,           0.0053137,             0.91251,             0.93333,             0.90648,             0.63899,           0.0076118,           0.0043352,           0.0027988,          0.00079634,          0.00079634,            0.037896
                  90,            0.041133,            0.018372,           0.0063712,               0.885,             0.93028,             0.90539,             0.65535,           0.0076082,           0.0043575,            0.002917,          0.00077608,          0.00077608,            0.037176
                  91,            0.028352,            0.017419,           0.0052631,             0.88924,             0.93333,             0.90741,             0.64602,           0.0075827,           0.0043541,           0.0028059,          0.00075789,          0.00075789,            0.036458
                  92,            0.029029,            0.017897,           0.0041291,             0.94208,             0.89445,             0.90333,             0.64464,           0.0075628,           0.0043092,           0.0027839,          0.00074189,          0.00074189,            0.035742
                  93,            0.031805,            0.018007,           0.0048357,             0.94036,             0.90279,               0.915,              0.6455,           0.0082857,           0.0042438,            0.002739,           0.0007282,           0.0007282,            0.035028
                  94,            0.037332,            0.019411,           0.0056903,             0.93678,             0.91095,              0.9073,             0.64005,           0.0074901,           0.0042435,            0.002767,          0.00071693,          0.00071693,            0.034317
                  95,            0.031873,            0.015983,           0.0036911,             0.92978,             0.91533,             0.91264,             0.61838,           0.0094495,           0.0041958,           0.0029522,          0.00070818,          0.00070818,            0.033608
                  96,            0.035529,            0.017751,           0.0063187,             0.90693,             0.88514,             0.92087,             0.60224,            0.009344,           0.0041757,           0.0029407,          0.00070206,          0.00070206,            0.032902
                  97,            0.031657,            0.018167,           0.0049586,             0.92944,             0.89147,             0.93944,             0.60996,           0.0087852,           0.0041755,           0.0030428,          0.00069868,          0.00069868,            0.032199
                  98,            0.038234,            0.018256,           0.0040911,             0.90083,             0.90027,             0.94024,             0.66291,           0.0082778,           0.0041189,           0.0032205,          0.00069814,          0.00069814,            0.031498
                  99,            0.030231,            0.017906,           0.0034928,             0.89183,             0.91224,             0.93485,              0.6535,           0.0092232,           0.0040611,           0.0033235,          0.00070055,          0.00070055,            0.030801
